"","post_id","type","timestamp","caption","hashtags","n_hashtags","is_video","video_views","n_likes","n_comments","n_uniq_commenters"
"1","ig001","GraphSidecar",2021-01-09 18:02:30,"Selamat tahun 2021, Sobat JDS! Kita pasti sepakat kalau 2020 adalah tahun yang berat bagi semua orang. Berbagai macam krisis melanda negeri ini akibat pandemi, tapi kamu hebat bisa bertahan melewatinya. Begitu juga kami—tak disangka kalau sebagai unit digital yang belum genap dua tahun, @jabardigitalservice punya peran penting di balik layar penanganan pandemi di Jawa Barat. Inilah rangkuman beberapa “pekerjaan rumah” yang kami mulai sejak awal tahun lalu. Baca selengkapnya cerita dan pengalaman JDS melewati tahun penuh tantangan ini dalam Kilas Balik 2020 “Menghadapi Pandemi dengan Teknologi” di: bit.ly/2020annualreportjds Atau kamu bisa tonton juga perjalanan orang-orang di balik layar penanganan pandemi di: bit.ly/videoannualreportjds2020 (Link bisa diakses juga di profil kami!)#AnnualReport #KilasBalik2020 #LaporanAkhirTahunJDS2020 #JabarDigitalService #LaporanAkhirTahun #PandemiCovid19 #civictech #govtech","KilasBalik2020, LaporanAkhirTahunJDS2020, AnnualReport, govtech, civictech, JabarDigitalService, LaporanAkhirTahun, PandemiCovid19",8,FALSE,NA,247,4,3
"2","ig002","GraphVideo",2021-01-01 13:09:27,"Halo, Sobat JDS!<U+2063><U+2063>Dua ribu dua puluh satu, tahun baru lembaran baru. Momentum bangkit dari penyakit. Hadapi krisis dengan optimis. <U+2063><U+2063>Selamat tahun baru!<U+2063><U+2063>#2021 #jabartanggapcovid19","2021, jabartanggapcovid19",2,TRUE,891,86,0,0
"3","ig003","GraphVideo",2020-12-31 20:48:05,"Sobat JDS, tak terasa kita sudah di penghujung tahun 2020. Ditemukannya kasus Covid-19 pertama Indonesia di Depok, Maret lalu, jadi babak baru bagi Jabar Digital Service.Mengalihkan seluruh program yang telah direncanakan dan didaulat menjadi tulang punggung penanganan pandemi di Jawa Barat tentu penuh tantangan. Mengeksplorasi berbagai solusi digital selama 24/7, menganalisis berjuta-juta data, dan mengintegrasikan berbagai sistem kesehatan satu pintu selama 10 bulan kami jalani demi respon pandemi yang lebih efisien. Tak sedikit di antara kami yang terpaksa harus mengisolasi diri; kelelahan fisik dan mental menjadi penanda bahwa Covid-19 dapat menyerang siapapun, termasuk yang bekerja setiap hari untuk bantu melawannya.Baca cerita dan capaian kami sepanjang tahun dalam Kilas Balik 2020 “Menghadapi Pandemi dengan Teknologi” di sini: http://bit.ly/2020annualreportjds Tonton juga perjalanan orang-orang di balik layar penanganan pandemi di sini: http://bit.ly/videoannualreportjds2020(Link bisa diakses juga di profil kami!) #laporanakhirtahun #kaleidoskop2020 #jabardigitalservice #annualreport #civictech #govtech #pandemic","govtech, kaleidoskop2020, civictech, laporanakhirtahun, annualreport, pandemic, jabardigitalservice",7,TRUE,3503,246,3,3
"4","ig004","GraphSidecar",2020-12-31 18:36:41,"Wargi, pandemi masih berlangsung, lho. Masih tetap nekat mau pergi liburan? Eits! Jangan lupa buat selalu terapkan protokol kesehatan. Memakai masker, mencuci tangan dan menjaga jarak adalah protokol kesehatan yang wajib diterapkan saat kamu keluar rumah. Jadilah traveler yang bertanggung jawab.Tapi, Sobat JDS, staycation atau liburan #DiRumahAja adalah pilihan liburan terbaik di masa pandemi. #DiRumahAja#TahunBaruDiRumah#KompakLawanCOVID19","DiRumahAja, TahunBaruDiRumah, KompakLawanCOVID19",3,FALSE,NA,100,0,0
"5","ig005","GraphSidecar",2020-12-30 19:57:33,"Sampurasun, Sobat JDS!<U+2063><U+2063><U+2063><U+2063>66 putra putri terbaik negeri telah berhasil menyisihkan 7.105 orang dalam rekrutmen Jabar Digital Service 2020. Mereka merupakan talenta berbakat dengan berbagai latar belakang pendidikan dan telah berpengalaman di berbagai bidang.<U+2063><U+2063><U+2063><U+2063>Selamat bergabung bersama DigiTeam, semangat berkontribusi untuk Jawa Barat yang lebih baik!<U+2063><U+2063><U+2063><U+2063>#jabardigitalservice #jabarjuara #rekrutmen","jabarjuara, jabardigitalservice, rekrutmen",3,FALSE,NA,651,14,13
"6","ig006","GraphSidecar",2020-12-28 20:07:52,"Sobat JDS, berlibur akhir tahun di tengah pandemi tampaknya perlu dipertimbangkan kembali. Satgas Covid-19 menemukan bahwa beberapa lonjakan kasus sepanjang libur panjang tahun ini ternyata berdampak pada perkembangan kasus nasional.<U+2063><U+2063><U+2063><U+2063>Yuk, bijak berlibur dengan tetap di rumah saja untuk bantu tekan kasus Covid-19!<U+2063><U+2063><U+2063><U+2063>#jabartanggapcovid19 #liburakhirtahun #protokolkesehatan<U+2063><U+2063>","protokolkesehatan, liburakhirtahun, jabartanggapcovid19",3,FALSE,NA,130,2,2
"7","ig007","GraphImage",2020-12-25 10:12:16,"Sobat JDS, pandemi Covid-19 tidak mengurangi makna kedamaian dan suka cita di hari yang kudus ini. Namun, Natal kali ini harus dirayakan berbeda. Berkumpul tak harus berkerumun, bertemu tak harus secara langsung. Yakinlah Sang Kristus selalu memberi kekuatan bagi kita semua menghadapi pandemi ini. Tetap terapkan protokol kesehatan, rayakan Natal dalam kedamaian.Selamat Hari Raya Natal bagi Sobat JDS yang merayakan! #DigiCampaign #Natal #HariRayaNatal #MerryChristmas","HariRayaNatal, Natal, MerryChristmas, DigiCampaign",4,FALSE,NA,104,8,4
"8","ig008","GraphSidecar",2020-12-21 18:38:10,"Sampurasun, Sobat JDS!<U+2063><U+2063>Sebanyak 7171 orang telah berjuang memperebutkan kursi di Jabar Digital Service. Lewat seleksi administrasi yang ketat, 203 pelamar dinyatakan lolos ke tahap selanjutnya. Bagi yang lolos, silakan cek emailmu untuk informasi hasil seleksi dan undangan tahap wawancara.<U+2063><U+2063>Bagi kamu yang belum berhasil lolos di tahap administrasi, jangan berkecil hati. Kamu bisa mencoba lagi di kesempatan rekrutmen JDS lainnya. Tetap optimis bantu Jabar jadi lebih baik lagi dengan keahlian yang kamu miliki!<U+2063><U+2063>Sampai jumpa di Jabar Digital Service!<U+2063><U+2063>#jabardigitalservice #jabarmemanggil #infoloker #civictech","civictech, jabarmemanggil, jabardigitalservice, infoloker",4,FALSE,NA,570,84,47
"9","ig009","GraphImage",2020-12-17 18:06:53,"Sobat JDS, dua perempuan tangguh—Dyana Jatnika @dyanajatnika (Project Officer) dan Kurnia Sari Aisyiah @nonchild (Senior Data Analyst)—dari @jabardigitalservice masuk ke dalam daftar “Women in GovTech 2020” dari @govinsider. Fungsi pemerintahan tumbuh lebih jauh selama pandemi Covid-19, sebagian besar bergantung pada penggunaan data dan informasi digital.Dyana telah mendedikasikan sebagian besar waktunya di 2020 menjadi ujung tombak transformasi digital di 18 kabupaten dan 9 kota di Jawa Barat untuk sejumlah program, termasuk dalam menggawangi kemitraan dan implementasi sistem digital untuk uji gejala Covid-19 berbasis kecerdasan buatan (AI), manajemen logistik, serta pengelolaan donasi yang terintegrasi pada aplikasi Pusat Informasi dan Koordinasi Covid-19 Jawa Barat (Pikobar).Sedangkan Aisyiah, 24/7 fokus menjadi agen perubahan di balik layar Pikobar; menganalisa sebanyak-banyaknya data untuk menghasilkan rekomendasi kebijakan yang paling sesuai untuk menanggulangi pandemi. Peta sebaran kasus pertama di Jabar adalah garapan Ais, panggilan akrabnya, yang menjadi cikal bakal dasbor publik di Pikobar. Sebagai seorang istri dan ibu, menurutnya, misi “menyelamatkan dunia” mengorbankan waktu bersama keluarga kecilnya. Namun, dengan dukungan keluarganya pula, Ais memperjuangkan misi transparansi data untuk kebijakan yang lebih baik. Mereka berdua membuktikan bahwa keterwakilan perempuan sangat penting untuk menciptakan lingkungan kerja yang inklusif, termasuk di bidang teknologi pemerintahan. Dyana dan Ais hanya dua dari banyak perempuan yang menembus “glass-ceiling” di industri yang masih didominasi laki-laki ini. Baca selengkapnya di: govinsider.asia/digital-gov/meet-the-women-in-govtech-2020/#GovInsider #WomenInGovTech2020 #InspiringWomen2020 #JabarDigitalService #DigiTeam","GovInsider, InspiringWomen2020, DigiTeam, JabarDigitalService, WomenInGovTech2020",5,FALSE,NA,435,74,41
"10","ig010","GraphImage",2020-12-16 18:22:05,"Hai Sobat JDS!<U+2063><U+2063><U+2063><U+2063>Pendaftaran dan seleksi administrasi Jabar Digital Service akan segera ditutup. Kamu masih punya waktu 1 hari lagi untuk memperebutkan kursi di Jabar Digital Service. Agar menghindari traffic website pada hari terakhir pendaftaran, segera lengkapi persyaratan rekrutmennya dan jangan ada yang terlewat. <U+2063><U+2063><U+2063><U+2063>Simak posisi apa saja yang tersedia dan persyaratan rekrutmennya pada laman resmi kami: https://digitalservice.jabarprov.go.id/karir/<U+2063><U+2063>Tetap optimis ciptakan perubahan di Jabar, sampai bertemu di Jabar Digital Service!<U+2063><U+2063><U+2063><U+2063>#jabarmemanggil #jabardigitalservice #rekrutmen #civictech #lowongankerja #infoloker<U+2063><U+2063><U+2063>","lowongankerja, jabarmemanggil, civictech, infoloker, jabardigitalservice, rekrutmen",6,FALSE,NA,1009,192,103
