"","post_id","comments_username","comments_timestamp","comments_text"
"1","ig001","ina_pancawati",2021-01-12 21:06:44,"Smg pandemi sgr berakhir ya Alloh..Aamiin<U+0001F932>"
"2","ig001","puterirs_",2021-01-12 21:06:45,"Iya, naik lgi ya Allah <U+0001F62D>"
"3","ig001","razki_iskandar",2021-01-12 21:24:22,"Juaraaa wae"
"4","ig001","ajengrk25",2021-01-12 21:33:56,"Kenapa data kab. Bogor selalu di bawah 5 bahkan sering 0 nyampe ke pikobar <U+0001F614> padahal kasus hariannya di atas 50 <U+0001F629>"
"5","ig001","aderdorr",2021-01-12 21:58:18,"Mau tanya untuk Kota Bekasi, ko datanya beda ya sama di website corona.bekasi.go.id , apalagi di tingkat kesembuhannya sangat jauh berbeda. Ini kita harus mengacu ke yg mana ya?"
"6","ig001","ndha2356",2021-01-12 23:25:53,"@ajengrk25 Jumlah total nya aja jauh banget, asli nya ada 900 lebih kasus aktif disini cuma puluhan."
"7","ig001","ndha2356",2021-01-12 23:26:48,"@aderdorr Yang bener data di website corona.bekasi.go.id.. Data yg disini berantakan semua."
"8","ig001","djoyosuparjo17",2021-01-13 01:49:32,"Emang anu dirawat g ada dicianjur nu covid aslina ieu teh?asa teu percaya?dicianjur saeutik?"
"9","ig001","djoyosuparjo17",2021-01-13 01:52:24,"Kali2 mah survey langsung bukan hanya data,,,,kadang data jeung kenyataan teu singkron...soalnya teu percaya di cianjur sakitu"
"10","ig001","ekania_a",2021-01-13 06:36:07,"@djoyosuparjo17 cek di web cianjur.covid, disitu per hari kmrn msh 600 lbh kasus aktif"
"11","ig001","ekania_a",2021-01-13 06:37:06,"@djoyosuparjo17 sanes kadang2 deui..ini udah 10 bulan msh blm sinkron2 <U+0001F605>"
"12","ig001","djoyosuparjo17",2021-01-13 07:40:17,"@ekania_a loba ditutup2...."
"13","ig001","nelissetiawati02",2021-01-13 09:50:28,"Ya alloh,subang sangat melonjak sekali<U+0001F622>"
"14","ig002","neira_ghaza",2021-01-13 10:19:06,"Ouh jadi Yang OTG di rawat di rumah sakit,bukan isolasi mandiri di rumah"
"15","ig003","rofi_atussaadah",2021-01-12 16:53:08,"Tulisan latin 25%nya salah minn <U+0001F601><U+270C><U+FE0F>"
"16","ig003","kanditameiza",2021-01-12 16:58:43,"Ahh dikantor saya tidak ada WFH.. Kamtor masih bekerja full"
"17","ig003","axelize.rize",2021-01-12 17:07:43,"psbb wfh tidak di terapkan oleh perusahaan & tetap berjalan normal 100% karyawan tetap wfo apakah bisa dilaporkan? dan kemana ya?
atasan & beberapa karyawan tidak menaati 3M
kantor saya di bandung tidak ada imbauan apapun dari atasan, apakah bisa dilaporkan ya? karena ada 1 karyawan juga yang terpaksa wfh karena kontak erat tetapi karyaean lain tidak"
"18","ig003","atepwungkul123",2021-01-12 17:27:19,"Saya jualan di tmpt wisata , rek wfh kumaha? Tamu teu bisa asup rek aya pemasukan ti mn? Bantuan lasut euweuh kbr , kamarana pamingpin nu critana amanah teh? Cobi tinggal na ka tmpt wisata sapertos kumaha kaayaana.... Pami bd ngendalikeun covid, cukupi kebutuhan hidup warga , trutama nu teu gaduh pendapatan tetap jiga simkuring, supados ngajedog di imah ge moal kakurangan tuangen. Sanes slalu wfh weh nu kantoran hkl, na ari pedagang lain jalmi? Atanapi sanes warga negara???????"
"19","ig003","takeshi_gambreng",2021-01-12 17:42:42,"Tolong saya kesulitan cari nafkah solusinya juga diperhatikan..."
"20","ig003","faturrocks",2021-01-12 19:37:37,"wisata gimana ya?"
