"","post_id","type","timestamp","caption","hashtags","n_hashtags","is_video","video_views","n_likes","n_comments","n_uniq_commenters"
"1","ig001","GraphSidecar",2021-01-12 21:01:26,"Update Data COVID-19 di Jawa Barat 12 Januari 2021 (pk. 21.00)1. Update data kasus Kasus Terkonfirmasi di Jawa Barat: 100.585 (+1.540)Isolasi/Dalam Perawatan: 15.536 (+555)Sembuh: 83.804 (+970)Meninggal: 1.245 (+15)2. Update jumlah pengetesan Jumlah tes Covid-19 di Jawa Barat: 1.327.339RDT: 455.175PCR: 872.1643. Dari level kewaspadaan 27 Kabupaten/Kota, 6 daerah masuk Zona Risiko Rendah, 15 daerah Zona Risiko Sedang (Oranye), dan 6 daerah masuk Zona Risiko Tinggi (Merah).<U+2063>4. Mari tingkatkan disiplin dengan selalu ingatkan sesama untuk patuhi protokol kesehatan 3M, yakni: memakai masker, menjaga jarak dan mencuci tangan kapanpun dan dimanapun berada.5. Dapatkan informasi lengkap perkembangan COVID-19 di Jawa Barat melalui website pikobar.jabarprov.go.id atau install aplikasi Pikobar di gawai anda!#JabarKita #JabarJuaraLahirBatin #JabarTanggapCovid19 #COVID19","JabarTanggapCovid19, COVID19, JabarJuaraLahirBatin, JabarKita",4,FALSE,NA,191,13,9
"2","ig002","GraphSidecar",2021-01-12 17:55:23,"Plt. kepala Dinas Kesehatan Provinsi Jawa Barat @desartike Mendampingi Gubernur Jawa Barat Bapak @ridwankamil pemantauan dan peninjauan RS Darurat Secapa AD.Tempat tersebut memiliki 4 barak, tiga di antaranya dikonversi untuk menjadi ruangan perawatan bagi pasien gejala ringan dengan masing-masing 30 tempat tidur. Sehingga total terdapat 180 tempat tidur.RS Darurat Secapa AD telah memenuhi standar penanganan Covid 19 yang berangsur-angsur fasilitas penunjang lainnya akan segera di lengkapi..Pasien yang diterima adalah masyarakat Jawa Barat yang merupakan rujukan dari rumah sakit atau puskesmas dengan hasil swan tepat positif metode PCR.Mari kita tingkatkan proteksi diri dengan bersama-sama mematuhi protokol kesehatan (3M, memakai masker, mencuci tangan dan menjaga jarak).#banggajadiwargajabar #jawabarat #jabar#JabarKita #JabarJuaraLahirBatin#banggajadiwargajabar #jawabarat #jabar #JabarTanggapCovid19 #covid-19 #corona #dirumahaja #dinkesjuara #JawaBarat #JabarJuara#jabarngabret #dinkesngabret#JabarJuaraLahirBatin#dinkesjuaralahirbatin#CegahStunting#JabarSehatLahirBatin","JabarTanggapCovid19, dirumahaja, dinkesngabret, jawabarat, JabarSehatLahirBatin, JabarJuaraLahirBatin, covid, jabarngabret, banggajadiwargajabar, dinkesjuaralahirbatin, JabarJuara, CegahStunting, JawaBarat, JabarKita, corona, jabar, dinkesjuara",17,FALSE,NA,186,1,1
"3","ig003","GraphSidecar",2021-01-12 16:40:52,"Wargi Sabilulungan...Pemkab Bandung telah mengeluarkan Surat Edaran PPKM, untuk menindaklanjuti Instruksi Mendagri Nomor 1 Tahun 2021 Tentang Pemberlakuan Pembatasan Kegiatan Untuk Pengendalian Penyebaran Covid-19.Yuk, kita cermati apa saja pembatasannya...Infografis Humas Kab Bandung by @yogo_pioggia#ppkm #protokolkesehatan #intruksi #kabupatenbandung #kabbandung #humaskabupatenbandung #humaskabbdg #sabilulungan #sabilulunganjihadmelawancorona","protokolkesehatan, ppkm, sabilulungan, sabilulunganjihadmelawancorona, humaskabupatenbandung, kabupatenbandung, humaskabbdg, intruksi, kabbandung",9,FALSE,NA,232,9,8
"4","ig004","GraphSidecar",2021-01-11 21:45:02,"Update Data COVID-19 di Jawa Barat 11 Januari 2021 (pk. 21.00)<U+2063><U+2063>1. Update data kasus Kasus Terkonfirmasi di Jawa Barat: 99.045 (+1.475)<U+2063>Isolasi/Dalam Perawatan: 14.981 (+404)<U+2063>Sembuh: 82.834 (+1060)<U+2063>Meninggal: 1.230 (+11)<U+2063><U+2063>2. Update jumlah pengetesan Jumlah tes Covid-19 di Jawa Barat: 1.322.595<U+2063>RDT: 455.175<U+2063>PCR: 867.420<U+2063><U+2063>3. Dari level kewaspadaan 27 Kabupaten/Kota, 6 daerah masuk Zona Risiko Rendah, 15 daerah Zona Risiko Sedang (Oranye), dan 6 daerah masuk Zona Risiko Tinggi (Merah).<U+2063><U+2063>4. Mari tingkatkan disiplin dengan selalu ingatkan sesama untuk patuhi protokol kesehatan 3M, yakni: memakai masker, menjaga jarak dan mencuci tangan kapanpun dan dimanapun berada.<U+2063><U+2063>5. Dapatkan informasi lengkap perkembangan COVID-19 di Jawa Barat melalui website pikobar.jabarprov.go.id atau install aplikasi Pikobar di gawai anda!<U+2063><U+2063>#JabarKita #JabarJuaraLahirBatin #JabarTanggapCovid19 #COVID19","JabarTanggapCovid19, COVID19, JabarJuaraLahirBatin, JabarKita",4,FALSE,NA,194,6,6
"5","ig005","GraphSidecar",2021-01-11 18:55:42,"Update Mingguan Covid-19<U+2063><U+2063>04 - 10 Januari 2021<U+2063><U+2063><U+2063><U+2063>Ingin tahu data Kota/Kabupaten di Jawa Barat dengan jumlah penambahan kasus positif, pasien sembuh dan meninggal dunia tertinggi dalam seminggu terakhir? Yuk, simak rekapan datanya pada konten di atas.<U+2063><U+2063><U+2063><U+2063>Ikuti juga terus perkembangan data lengkap Covid-19 di Jawa Barat dengan mengakses website Pikobar atau download aplikasinya di App Store maupun Play Store.","",0,FALSE,NA,244,3,3
"6","ig006","GraphImage",2021-01-11 14:54:17,"Wilujeng sonten wargi Jabar <U+0001F917>“Alhamdulillah sekarang kita sudah punya 11.000-an vaksinator yang dilatih sampai akhir bulan Januari. Insyaallah Jabar akan siap memulai vaksinasi Covid-19,” ujar Kang Emil.Wargi, pendistribusian vaksin Covid-19 di Jabar akan dilakukan secara proporsional berdasarkan tingkat penyebaran Covid-19 <U+0001F917>Nantinya akan lebih banyak nakes di zona merah yang mendapatkan vaksin lebih dulu. Seperti, Bodebek (Bogor-Depok-Bekasi) dan Bandung Raya yang akan mendapat porsi lebih banyak.Provinsi Jabar mendapat alokasi 97.080 vial vaksin Covid-19 yang terbagi dalam dua tahap distribusi. Tahap I sebanyak 38.400 vial. Sementara Tahap II sebanyak 58.680 dosis <U+0001F91D>Dari data Satgas Penanganan Covid-19 Jabar, terdapat 1.094 puskesmas sudah terlatih, 27 wakil supervisor kabupaten/kota sudah terlatih, 67 rumah sakit umum di 27 kabupaten/kota sudah terlatih, 18 RS TNI, Polri, BUMN, sudah terlatih, serta tambahan 46 cold chain TCW 3000 <U+0001F607>#JabarKita #JabarJuaraLahirBatin#AdaptasiKebiasaanBaruInfografis Humas Jabar by @aulfadlan#banggajadiwargajabar #jawabarat #jabar #HumasJabar #gedungsate #westjava #RidwanKamil #UuRuzhanulUlum #JabarSehatLahirBatin#JabarTanggapCovid19","westjava, JabarTanggapCovid19, RidwanKamil, jawabarat, AdaptasiKebiasaanBaru, JabarSehatLahirBatin, JabarJuaraLahirBatin, gedungsate, banggajadiwargajabar, UuRuzhanulUlum, JabarKita, HumasJabar, jabar",13,FALSE,NA,161,0,0
"7","ig007","GraphSidecar",2021-01-10 21:58:34,"Update Data COVID-19 di Jawa Barat 10 Januari 2021 (pk. 21.00)1. Update data kasus Kasus Terkonfirmasi di Jawa Barat: 97.570 (+1.468)Isolasi/Dalam Perawatan: 14.577 (+508)Sembuh: 81.774 (+952)Meninggal: 1.219 (+8)2. Update jumlah pengetesan Jumlah tes Covid-19 di Jawa Barat: 1.313.082RDT: 455.175PCR: 857.9073. Dari level kewaspadaan 27 Kabupaten/Kota, 7 daerah masuk Zona Risiko Rendah, 15 daerah Zona Risiko Sedang (Oranye), dan 5 daerah masuk Zona Risiko Tinggi (Merah).4. Mari tingkatkan disiplin dengan selalu ingatkan sesama untuk patuhi protokol kesehatan 3M, yakni: memakai masker, menjaga jarak dan mencuci tangan kapanpun dan dimanapun berada.5. Dapatkan informasi lengkap perkembangan COVID-19 di Jawa Barat melalui website pikobar.jabarprov.go.id atau install aplikasi Pikobar di gawai anda!#JabarKita #JabarJuaraLahirBatin #JabarTanggapCovid19 #COVID19","JabarTanggapCovid19, COVID19, JabarJuaraLahirBatin, JabarKita",4,FALSE,NA,217,6,6
"8","ig008","GraphVideo",2021-01-10 18:38:45,"Penggunaan thermal gun yg diarahkan ke dahi merupakan sesuatu yg aman utk dilakukan, karena thermal gun tidak menggunakan sinar laser ataupun sinar radio aktif (x-ray) <U+0001F44C><U+0001F3FB>Ayo! Sebarkan informasi ini agar pelaksanaan protokol kesehatan di ruang publik dapat dilakukan secara tepat dan tidak menjadi percuma <U+0001F44D><U+0001F3FB>Kuy kita kurangi informasi yg tidak tepat dan belum pasti kebenarannya supaya tidak jadi beban keluarga <U+0001F61D>Cari tahu informasi tentang COVID-19 di website https://covid19.go.id/ atau media sosial @lawancovid19_id#TransportasiJuara #BersatuMelawanCovid19 #75TahunJabar #DishubJabar #IndonesiaKerjaBersama #JabarJuara #JabarTanggapCovid19 #JabarJuaraLahirBatin","JabarTanggapCovid19, DishubJabar, IndonesiaKerjaBersama, 75TahunJabar, BersatuMelawanCovid19, JabarJuaraLahirBatin, JabarJuara, TransportasiJuara",8,TRUE,9404,248,17,16
"9","ig009","GraphSidecar",2021-01-10 15:48:27,"Wilujeung sore dulur - dulur #RimbawanJabarSambil nemenin istirahat, bribadah dan makan siang dulur-dulur semua, mimin mau kasih sekilas info mengenai tanaman obat. Sekarang giliran tanaman Cabai Jawa yang memiliki bentuk dan tekstur yang unik, kuy disimak infonya lur <U+0001F44C><U+0001F3FB>Infografis oleh @ambar.aar.@ridwankamil@ruzhanul@epi_kustiawan#DishutJabar #JabarJuara #JabarJuaraLahirBatin #WestJava #JawaBarat #Forest #Forester #HutanLestari #HutanLestariMasyarakatSejahtera","HutanLestariMasyarakatSejahtera, Forest, JabarJuaraLahirBatin, JabarJuara, WestJava, JawaBarat, HutanLestari, DishutJabar, Forester, RimbawanJabar",10,FALSE,NA,173,1,1
"10","ig010","GraphSidecar",2021-01-09 21:39:31,"Update Data COVID-19 di Jawa Barat 9 Januari 2021 (pk. 21.00)1. Update data kasus Kasus Terkonfirmasi di Jawa Barat: 96.102 (+1.731)Isolasi/Dalam Perawatan: 14.069 (+546)Sembuh: 80.822 (+1.179)Meninggal: 1.211 (+6)2. Update jumlah pengetesan Jumlah tes Covid-19 di Jawa Barat: 1.309.923RDT: 455.175PCR: 854.7483. Dari level kewaspadaan 27 Kabupaten/Kota, 7 daerah masuk Zona Risiko Rendah, 15 daerah Zona Risiko Sedang (Oranye), dan 5 daerah masuk Zona Risiko Tinggi (Merah).4. Mari tingkatkan disiplin dengan selalu ingatkan sesama untuk patuhi protokol kesehatan 3M, yakni: memakai masker, menjaga jarak dan mencuci tangan kapanpun dan dimanapun berada.5. Dapatkan informasi lengkap perkembangan COVID-19 di Jawa Barat melalui website pikobar.jabarprov.go.id atau install aplikasi Pikobar di gawai anda!#JabarKita #JabarJuaraLahirBatin #JabarTanggapCovid19 #COVID19","JabarTanggapCovid19, COVID19, JabarJuaraLahirBatin, JabarKita",4,FALSE,NA,233,5,5
